country,stream_id,target_start,target_iso_year,target_iso_week,baseline_center_iso_year,baseline_center_iso_week,week53_mapped_to52,window_start,window_end,expected_weeks,eligible_weeks,qualified,positive_specimens,tested_specimens,positivity,excluded_week_reasons
ETH,53b5453d29f812a883a9,2026-03-23,2026,13,2021,13,False,2021-03-15,2021-04-18,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-03-23,2026,13,2022,13,False,2022-03-14,2022-04-17,5,3,False,57.0,335.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-03-23,2026,13,2023,13,False,2023-03-13,2023-04-16,5,5,True,29.0,865.0,0.03352601156069364,{}
ETH,53b5453d29f812a883a9,2026-03-23,2026,13,2024,13,False,2024-03-11,2024-04-14,5,3,False,6.0,437.0,,"{""unobserved_week"":2}"
ETH,53b5453d29f812a883a9,2026-03-23,2026,13,2025,13,False,2025-03-10,2025-04-13,5,4,True,49.0,505.0,0.09702970297029703,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2026-03-30,2026,14,2021,14,False,2021-03-22,2021-04-25,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-03-30,2026,14,2022,14,False,2022-03-21,2022-04-24,5,3,False,57.0,335.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-03-30,2026,14,2023,14,False,2023-03-20,2023-04-23,5,5,True,27.0,856.0,0.03154205607476635,{}
ETH,53b5453d29f812a883a9,2026-03-30,2026,14,2024,14,False,2024-03-18,2024-04-21,5,4,True,7.0,552.0,0.012681159420289856,"{""unobserved_week"":1}"
ETH,53b5453d29f812a883a9,2026-03-30,2026,14,2025,14,False,2025-03-17,2025-04-20,5,3,False,40.0,402.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-04-06,2026,15,2021,15,False,2021-03-29,2021-05-02,5,0,False,,,,"{""unobserved_week"":5}"
